brandnm,goodsnm,USER,reg_date,order_date,p_type,sub_type,app_yn
Dolce & Gabbana,line detail flower dress multi,a1144874,1/29/21,1/29/21,4days,D,Y
Fendi,two way bucket bag black,a1144401,1/25/21,1/29/21,4days,BA,Y
Saint Laurent,chevron quilting cross bag cream,a1144837,1/28/21,1/29/21,4days,BA,Y
Louis Vuitton,monogram eva clutch,a1144848,1/29/21,1/29/21,4days,BA,Y
Imvely,peral button tweed dress pink,a167680,12/21/19,1/29/21,4days,D,Y
Escada,embroidery velvet jacket black,a14291,4/19/18,1/28/21,4days,O,Y
Gucci,microssima emily mini bag black,a1144814,1/28/21,1/28/21,7days,BA,Y
Louis Vuitton,monogram canvas clutch bag,a1140387,12/29/20,1/28/21,7days,BA,Y
Fayewoo,lace point shirring blouse pink & lace detail long mermaid skirt,a1141009,1/4/21,1/28/21,4days,TP,Y
Christian Dior,oblique jacquard shoulder bag,a1141009,1/4/21,1/28/21,4days,BA,Y
Diagonal,pocket basic pattern jacket brown,a1141009,1/4/21,1/28/21,4days,O,Y
Fendi,by the way small black,a1144653,1/27/21,1/28/21,4days,BA,Y
System,three button coat gray,a1144597,1/26/21,1/28/21,4days,O,Y
Christian Dior,croisiere patent lady bag,a1144515,1/26/21,1/28/21,4days,BA,Y
On&On,basic pattern A-Line dress charcoal,a1144531,1/26/21,1/28/21,7days,D,
Gucci,small logo pointed cross bag black,a1144790,1/28/21,1/28/21,4days,BA,Y
Chloe,button basic pattern coat brown,a1144622,1/26/21,1/28/21,4days,O,Y
Lucky Chouette,unique pattern pointed frill dress,a1144780,1/28/21,1/28/21,4days,D,Y
Molliolli,basic pattern fur-outer,a1144539,1/26/21,1/28/21,7days,O,Y
Prada,logo hobo bag black,a1135097,12/4/20,1/28/21,4days,BA,Y
Chanel,pocket basic pattern wool fullzip-jacket grey,a1135097,12/4/20,1/28/21,4days,O,Y
Fendi,printing pattern wool sweater black,a1142333,1/11/21,1/28/21,4days,T,Y
Gucci,dionysus cross bag,a1144763,1/28/21,1/28/21,7days,BA,Y
Chanel,zipper detail bucket tote bag,a1144766,1/28/21,1/28/21,4days,BA,Y
Prada,fur detail slim line single coat,a1144764,1/28/21,1/28/21,4days,O,Y
Celine,round hem line sweater gray_1,a1144749,1/28/21,1/28/21,4days,T,Y
Gucci,jackie 1961 hobo bag ivory,a1144749,1/28/21,1/28/21,4days,BA,Y
The Clozet,leopard pattern fur jacket 2,a1130389,11/13/20,1/28/21,4days,O,
Gucci,leather point cross bag,a1144727,1/27/21,1/28/21,4days,BA,
Mojosphine,basic pattern blouse white,a1144725,1/27/21,1/28/21,4days,T,Y
Burberry,tb leather belt bag black,a1144350,1/24/21,1/27/21,4days,BA,Y
